published,Title,Survey 대상인가,요약,특이사항,Code,arxiv_abstract,Authors,Link,Citations
2024년 3월 7일 오전 2:00 (GMT+8),Mamba4rec: Towards efficient sequential recommendation with selective state space models,Concrete-RecSys,"Mamba Block + FFN으로 Mamba Layer 구성, 이것을 쌓아서 백본으로 쓴다. Embedding Layer → Mamba Layer (x N) → Prediction Layer가 끝. 

Ablation Study로 PE, FFN, LN을 더하고 제거해본 결과, PE는 없는게 낫고, FFN/LN은 있는게 좋다고 한다. Layer 숫자는 Hyperparameter인듯.

MovieLens, Amazon Beauty, Amazon Video Games 데이터셋에 실험.","Texas A&M 논문,
현재 최다 Citations (60)

(RelKD@KDD 2024 Best Paper Award) - Source https://github.com/chengkai-liu/Mamba4Rec",https://github.com/chengkai-liu/Mamba4Rec,"Sequential recommendation aims to estimate the dynamic user preferences and
sequential dependencies among historical user behaviors. Although
Transformer-based models have proven to be effective for sequential
recommendation, they suffer from the inference inefficiency problem stemming
from the quadratic computational complexity of attention operators, especially
for long behavior sequences. Inspired by the recent success of state space
models (SSMs), we propose Mamba4Rec, which is the first work to explore the
potential of selective SSMs for efficient sequential recommendation. Built upon
the basic Mamba block which is a selective SSM with an efficient hardware-aware
parallel algorithm, we design a series of sequential modeling techniques to
further promote model performance while maintaining inference efficiency.
Through experiments on public datasets, we demonstrate how Mamba4Rec
effectively tackles the effectiveness-efficiency dilemma, outperforming both
RNN- and attention-based baselines in terms of both effectiveness and
efficiency. The code is available at https://github.com/chengkai-liu/Mamba4Rec.","C Liu,J Lin,J Wang,H Liu,J Caverlee- arXiv preprint arXiv:2403.03900, 2024 - arxiv.org",https://arxiv.org/abs/2403.03900,
2024년 7월 27일 오후 8:07 (GMT+8),Matrrec: Uniting mamba and transformer for sequential recommendation,Concrete-RecSys,,,https://github.com/unintelligentmumu/matrrec,"Sequential recommendation systems aim to provide personalized recommendations
by analyzing dynamic preferences and dependencies within user behavior
sequences. Recently, Transformer models can effectively capture user
preferences. However, their quadratic computational complexity limits
recommendation performance on long interaction sequence data. Inspired by the
State Space Model (SSM)representative model, Mamba, which efficiently captures
user preferences in long interaction sequences with linear complexity, we find
that Mamba's recommendation effectiveness is limited in short interaction
sequences, with failing to recall items of actual interest to users and
exacerbating the data sparsity cold start problem. To address this issue, we
innovatively propose a new model, MaTrRec, which combines the strengths of
Mamba and Transformer. This model fully leverages Mamba's advantages in
handling long-term dependencies and Transformer's global attention advantages
in short-term dependencies, thereby enhances predictive capabilities on both
long and short interaction sequence datasets while balancing model efficiency.
Notably, our model significantly improves the data sparsity cold start problem,
with an improvement of up to 33% on the highly sparse Amazon Musical
Instruments dataset. We conducted extensive experimental evaluations on five
widely used public datasets. The experimental results show that our model
outperforms the current state-of-the-art sequential recommendation models on
all five datasets. The code is available at
https://github.com/Unintelligentmumu/MaTrRec.","S Zhang, R Zhang,Z Yang- arXiv preprint arXiv:2407.19239, 2024 - arxiv.org",https://arxiv.org/abs/2407.19239,
2024년 3월 25일 오전 10:31 (GMT+8),Uncovering Selective State Space Model's Capabilities in Lifelong Sequential Recommendation,Concrete-RecSys,,,https://github.com/nancheng58/RecMamba,"Sequential Recommenders have been widely applied in various online services,
aiming to model users' dynamic interests from their sequential interactions.
With users increasingly engaging with online platforms, vast amounts of
lifelong user behavioral sequences have been generated. However, existing
sequential recommender models often struggle to handle such lifelong sequences.
The primary challenges stem from computational complexity and the ability to
capture long-range dependencies within the sequence. Recently, a state space
model featuring a selective mechanism (i.e., Mamba) has emerged. In this work,
we investigate the performance of Mamba for lifelong sequential recommendation
(i.e., length>=2k). More specifically, we leverage the Mamba block to model
lifelong user sequences selectively. We conduct extensive experiments to
evaluate the performance of representative sequential recommendation models in
the setting of lifelong sequences. Experiments on two real-world datasets
demonstrate the superiority of Mamba. We found that RecMamba achieves
performance comparable to the representative model while significantly reducing
training duration by approximately 70% and memory costs by 80%. Codes and data
are available at \url{https://github.com/nancheng58/RecMamba}.","J Yang, Y Li, J Zhao,H Wang,M Ma, J Ma… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2403.16371,
2024년 9월 2일 오후 7:58 (GMT+8),Ssd4rec: a structured state space duality model for efficient sequential recommendation,Concrete-RecSys,,,,"Sequential recommendation methods are crucial in modern recommender systems
for their remarkable capability to understand a user's changing interests based
on past interactions. However, a significant challenge faced by current methods
(e.g., RNN- or Transformer-based models) is to effectively and efficiently
capture users' preferences by modeling long behavior sequences, which impedes
their various applications like short video platforms where user interactions
are numerous. Recently, an emerging architecture named Mamba, built on state
space models (SSM) with efficient hardware-aware designs, has showcased the
tremendous potential for sequence modeling, presenting a compelling avenue for
addressing the challenge effectively. Inspired by this, we propose a novel
generic and efficient sequential recommendation backbone, SSD4Rec, which
explores the seamless adaptation of Mamba for sequential recommendations.
Specifically, SSD4Rec marks the variable- and long-length item sequences with
sequence registers and processes the item representations with bidirectional
Structured State Space Duality (SSD) blocks. This not only allows for
hardware-aware matrix multiplication but also empowers outstanding capabilities
in variable-length and long-range sequence modeling. Extensive evaluations on
four benchmark datasets demonstrate that the proposed model achieves
state-of-the-art performance while maintaining near-linear scalability with
user sequence length. Our code is publicly available at
https://github.com/ZhangYifeng1995/SSD4Rec.","H Qu, Y Zhang,L Ning,W Fan,Q Li- arXiv preprint arXiv:2409.01192, 2024 - arxiv.org",https://arxiv.org/abs/2409.01192,
2024년 6월 4일 오후 5:07 (GMT+8),EchoMamba4Rec: Harmonizing Bidirectional State Space Models with Spectral Filtering for Advanced Sequential Recommendation,Concrete-RecSys,,,,"Predicting user preferences and sequential dependencies based on historical
behavior is the core goal of sequential recommendation. Although
attention-based models have shown effectiveness in this field, they often
struggle with inference inefficiency due to the quadratic computational
complexity inherent in attention mechanisms, especially with long-range
behavior sequences. Drawing inspiration from the recent advancements of state
space models (SSMs) in control theory, which provide a robust framework for
modeling and controlling dynamic systems, we introduce EchoMamba4Rec. Control
theory emphasizes the use of SSMs for managing long-range dependencies and
maintaining inferential efficiency through structured state matrices.
EchoMamba4Rec leverages these control relationships in sequential
recommendation and integrates bi-directional processing with frequency-domain
filtering to capture complex patterns and dependencies in user interaction data
more effectively. Our model benefits from the ability of state space models
(SSMs) to learn and perform parallel computations, significantly enhancing
computational efficiency and scalability. It features a bi-directional Mamba
module that incorporates both forward and reverse Mamba components, leveraging
information from both past and future interactions. Additionally, a filter
layer operates in the frequency domain using learnable Fast Fourier Transform
(FFT) and learnable filters, followed by an inverse FFT to refine item
embeddings and reduce noise. We also integrate Gate Linear Units (GLU) to
dynamically control information flow, enhancing the model's expressiveness and
training stability. Experimental results demonstrate that EchoMamba
significantly outperforms existing models, providing more accurate and
personalized recommendations.","Y Wang,X He,S Zhu- arXiv preprint arXiv:2406.02638, 2024 - arxiv.org",https://arxiv.org/abs/2406.02638,
2024년 9월 24일 오후 11:26 (GMT+8),TiM4Rec: An Efficient Sequential Recommendation Model Based on Time-Aware Structured State Space Duality Model,Concrete-RecSys,,,,"The Sequential Recommendation modeling paradigm is shifting from Transformer
to Mamba architecture, which comprises two generations: Mamba1, based on the
State Space Model (SSM), and Mamba2, based on State Space Duality (SSD).
Although SSD offers superior computational efficiency compared to SSM, it
suffers performance degradation in sequential recommendation tasks, especially
in low-dimensional scenarios that are critical for these tasks. Considering
that time-aware enhancement methods are commonly employed to mitigate
performance loss, our analysis reveals that the performance decline of SSD can
similarly be fundamentally compensated by leveraging mechanisms in time-aware
methods. Thus, we propose integrating time-awareness into the SSD framework to
address these performance issues. However, integrating current time-aware
methods, modeled after TiSASRec, into SSD faces the following challenges: 1)
the complexity of integrating these transformer-based mechanisms with the SSD
architecture, and 2) the computational inefficiency caused by the need for
dimensionality expansion of time-difference modeling. To overcome these
challenges, we introduce a novel Time-aware Structured Masked Matrix that
efficiently incorporates time-aware capabilities into SSD. Building on this, we
propose Time-Aware Mamba for Recommendation (TiM4Rec), which mitigates
performance degradation in low-dimensional SSD contexts while preserving
computational efficiency. This marks the inaugural application of a time-aware
enhancement method specifically tailored for the Mamba architecture within the
domain of sequential recommendation. Extensive experiments conducted on three
real-world datasets demonstrate the superiority of our approach. The code for
our model is accessible at https://github.com/AlwaysFHao/TiM4Rec.","H Fan, M Zhu, Y Hu, H Feng, Z He, H Liu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16182,
2024년 8월 21일 오후 5:12 (GMT+8),Bidirectional gated mamba for sequential recommendation,Concrete-RecSys,,,,"In various domains, Sequential Recommender Systems (SRS) have become
essential due to their superior capability to discern intricate user
preferences. Typically, SRS utilize transformer-based architectures to forecast
the subsequent item within a sequence. Nevertheless, the quadratic
computational complexity inherent in these models often leads to
inefficiencies, hindering the achievement of real-time recommendations. Mamba,
a recent advancement, has exhibited exceptional performance in time series
prediction, significantly enhancing both efficiency and accuracy. However,
integrating Mamba directly into SRS poses several challenges. Its inherently
unidirectional nature may constrain the model's capacity to capture the full
context of user-item interactions, while its instability in state estimation
can compromise its ability to detect short-term patterns within interaction
sequences.
  To overcome these issues, we introduce a new framework named Selective Gated
Mamba (SIGMA) for Sequential Recommendation. This framework leverages a
Partially Flipped Mamba (PF-Mamba) to construct a bidirectional architecture
specifically tailored to improve contextual modeling. Additionally, an
input-sensitive Dense Selective Gate (DS Gate) is employed to optimize
directional weights and enhance the processing of sequential information in
PF-Mamba. For short sequence modeling, we have also developed a Feature Extract
GRU (FE-GRU) to efficiently capture short-term dependencies. Empirical results
indicate that SIGMA outperforms current models on five real-world datasets. Our
implementation code is available at https://github.com/ziwliu-cityu/SIMGA to
ease reproducibility.","Z Liu,Q Liu,Y Wang, W Wang,P Jia,M Wang… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.11451,
,M3Rec: Selective State Space Models with Mixture-of-Modality Experts for Multi-Modal Sequential Recommendation,Concrete-RecSys,,,,,"X Guo, T Zhang, Y Xue,C Wang… - ICASSP 2025-2025 …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10887582/,Cited by 2
2024년 7월 18일 오전 11:46 (GMT+8),Mlsa4rec: Mamba combined with low-rank decomposed self-attention for sequential recommendation,Concrete-RecSys,,,,"In applications such as e-commerce, online education, and streaming services,
sequential recommendation systems play a critical role. Despite the excellent
performance of self-attention-based sequential recommendation models in
capturing dependencies between items in user interaction history, their
quadratic complexity and lack of structural bias limit their applicability.
Recently, some works have replaced the self-attention module in sequential
recommenders with Mamba, which has linear complexity and structural bias.
However, these works have not noted the complementarity between the two
approaches. To address this issue, this paper proposes a new hybrid
recommendation framework, Mamba combined with Low-Rank decomposed
Self-Attention for Sequential Recommendation (MLSA4Rec), whose complexity is
linear with respect to the length of the user's historical interaction
sequence. Specifically, MLSA4Rec designs an efficient Mamba-LSA interaction
module. This module introduces a low-rank decomposed self-attention (LSA)
module with linear complexity and injects structural bias into it through
Mamba. The LSA module analyzes user preferences from a different perspective
and dynamically guides Mamba to focus on important information in user
historical interactions through a gated information transmission mechanism.
Finally, MLSA4Rec combines user preference information refined by the Mamba and
LSA modules to accurately predict the user's next possible interaction. To our
knowledge, this is the first study to combine Mamba and self-attention in
sequential recommendation systems. Experimental results show that MLSA4Rec
outperforms existing self-attention and Mamba-based sequential recommendation
models in recommendation accuracy on three real-world datasets, demonstrating
the great potential of Mamba and self-attention working together.","J Su, Z Huang - arXiv preprint arXiv:2407.13135, 2024 - arxiv.org",https://arxiv.org/abs/2407.13135,
2024년 8월 11일 오전 2:09 (GMT+8),Exploring Applications of State Space Models and Advanced Training Techniques in Sequential Recommendations: A Comparative Study on Efficiency and …,Survey-RecSys,,맘바 추천 Survey 논문,,"Recommender systems aim to estimate the dynamically changing user preferences
and sequential dependencies between historical user behaviour and metadata.
Although transformer-based models have proven to be effective in sequential
recommendations, their state growth is proportional to the length of the
sequence that is being processed, which makes them expensive in terms of memory
and inference costs. Our research focused on three promising directions in
sequential recommendations: enhancing speed through the use of State Space
Models (SSM), as they can achieve SOTA results in the sequential
recommendations domain with lower latency, memory, and inference costs, as
proposed by arXiv:2403.03900 improving the quality of recommendations with
Large Language Models (LLMs) via Monolithic Preference Optimization without
Reference Model (ORPO); and implementing adaptive batch- and step-size
algorithms to reduce costs and accelerate training processes.","M Obozov, M Baderko, S Kulibaba,N Kutuzov… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.05606,
