Title,Published in,Conference
Auto Encoding Neural Process for Multi-interest Recommendation,Conference,AAAI 2025
SIGMA: Selective Gated Mamba for Sequential Recommendation,Conference,AAAI 2025 Poster Session
Behavior-Dependent Linear Recurrent Units for Efficient Sequential Recommendation,Conference,CIKM 2024
"Train once, deploy anywhere: Matryoshka representation learning for multimodal recommendation",Conference,Findings of EMNLP 2024
Judge a Book by its Cover: A Multimodal Approach to Book Genre Prediction,Conference,ICWR 2025
F2MSA2: Integrating Mamba and Self-Attention for Sequential Recommendation,Conference,IEEE ICAIRC 2025
M3Rec: Selective State Space Models with Mixture-of-Modality Experts for Multi-Modal Sequential Recommendation,Conference,IEEE ICASSP 2025
Fine-grained global modeling learning for personalized federated sequential recommender,Conference,IEEE ICASSP 2025
Test-Time Alignment for Tracking User Interest Shifts in Sequential Recommendation,Conference,RecSys 2025
STAR-Rec: Making Peace with Length Variance and Pattern Diversity in Sequential Recommendation,Conference,SIGIR 2025
PatchRec: Multi-Grained Patching for Efficient LLM-based Sequential Recommendation,Conference,SIGIR 2025
Mitigating Distribution Shifts in Sequential Recommendation: An Invariance Perspective,Conference,SIGIR 2025
Linear recurrent units for sequential recommendation,Conference,WSDM 2024
Hyperbolic Variational Graph Auto-Encoder for Next POI Recommendation,Conference,WWW 2025 Poster Session
Frequency-Augmented Mixture-of-Heterogeneous-Experts Framework for Sequential Recommendation,Conference,WWW 2025 Poster Session 3
Covariance Attention Guidance Mamba Hashing for cross-modal retrieval,Journal,Engineering Applications of Artificial Intelligence
Coformer for session-based recommendation with dual positional information,Journal,Expert Systems with Applications (2025.07)
GeoMamba: Towards Efficient Geography-aware Sequential POI Recommendation,Journal,IEEE Access 2025
GeoMamba: Towards Multi-granular POI Recommendation with Geographical State Space Model,Journal,IEEE Access 2025
A Local context enhanced Consistency-aware Mamba-based Sequential Recommendation model,Journal,Information Processing & Management (2025)
EMK-KEN: A high-performance approach for assessing knowledge value in citation network,Journal,Knowledge-Based Systems
Mamba4rec: Towards efficient sequential recommendation with selective state space models,Workshop,RelKD@KDD 2024
EchoMamba4Rec: Harmonizing Bidirectional State Space Models with Spectral Filtering for Advanced Sequential Recommendation,Pre-print,
Gated Rotary-Enhanced Linear Attention for Long-term Sequential Recommendation,Pre-print,
Graph-Mamba 기반 POI 추천 시스템,Pre-print,
HMamba: Hyperbolic Mamba for Sequential Recommendation,Pre-print,
M2Rec: Multi-scale Mamba for Efficient Sequential Recommendation,Pre-print,
MMM4Rec: An Transfer-Efficient Framework for Multi-modal Sequential Recommendation,Pre-print,
MUFM: A Mamba-Enhanced Feedback Model for Micro Video Popularity Prediction,Pre-print,
Mamba for Scalable and Efficient Personalized Recommendations,Pre-print,
Matrrec: Uniting mamba and transformer for sequential recommendation,Pre-print,
Mlsa4rec: Mamba combined with low-rank decomposed self-attention for sequential recommendation,Pre-print,
PARSE-Ego4D: Toward Bidirectionally Aligned Action Recommendations for Egocentric Videos,Pre-print,
SS4Rec: Continuous-Time Sequential Recommendation with State Space Models,Pre-print,
Ssd4rec: a structured state space duality model for efficient sequential recommendation,Pre-print,
TTT4Rec: A Test-Time Training Approach for Rapid Adaption in Sequential Recommendation,Pre-print,
TiM4Rec: An Efficient Sequential Recommendation Model Based on Time-Aware Structured State Space Duality Model,Pre-print,
Uncovering Selective State Space Model's Capabilities in Lifelong Sequential Recommendation,Pre-print,
