Title,Authors,Link,Abstract,Citations,AI/ML Research?,Survey?,RecSys?,Mamba?,Published in,Conference
Mamba4rec: Towards efficient sequential recommendation with selective state space models,"C Liu,J Lin,J Wang,H Liu,J Caverlee- arXiv preprint arXiv:2403.03900, 2024 - arxiv.org",https://arxiv.org/abs/2403.03900,"Sequential recommendation aims to estimate the dynamic … to be effective for sequentialrecommendation, they suffer from … SSMs for efficient sequential recommendation. Built upon the …",,True,Concrete,True,True,Workshop,RelKD@KDD 2024
Matrrec: Uniting mamba and transformer for sequential recommendation,"S Zhang, R Zhang,Z Yang- arXiv preprint arXiv:2407.19239, 2024 - arxiv.org",https://arxiv.org/abs/2407.19239,"… systems aim to provide personalized recommendations by … complexity limits recommendationperformance on long … , we find that Mamba’s recommendation effectiveness is limited in …",,True,Concrete,True,True,Pre-print,
Prospect personalized recommendation on large language model-based agent platform,"J Zhang,K Bao,W Wang,Y Zhang,W Shi,W Xu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2402.18240,"… To this end, we propose a novel recommendation paradigm for the LLM-based Agentplatform, named Rec4Agentverse. As illustrated in Figure 2, Rec4Agentverse includes two key …",,True,Concrete,True,False,,
M2Rec: Multi-scale Mamba for Efficient Sequential Recommendation,"Q Zhang,L Qu, H Wen,D Huang,SM Yiu… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2505.04445,"… Abstract—Sequential recommendation systems aim to … , a novel sequential recommendationframework that integrates … , and adaptive fusion for sequential recommendation. Code and …",,True,Concrete,True,True,Pre-print,
Bidirectional gated mamba for sequential recommendation,"Z Liu,Q Liu,Y Wang, W Wang,P Jia,M Wang… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.11451,… This section presents the recommendation quality for users with different number ofinteractions to figure out the effctiveness of SIGMA on enhancing long-tail users’ experience. We …,,True,Concrete,True,True,Conference,AAAI 2025 Poster Session
Uncovering Selective State Space Model's Capabilities in Lifelong Sequential Recommendation,"J Yang, Y Li, J Zhao,H Wang,M Ma, J Ma… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2403.16371,"… framework, we aim to improve recommendation performance and better … recommendationscenarios. We conduct experiments to assess the effectiveness of prominent recommendation …",,True,Concrete,True,True,Pre-print,
SIGMA: Selective Gated Mamba for Sequential Recommendation,"Z Liu,Q Liu,Y Wang, W Wang,P Jia, M Wang… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/33336,"… This section presents the recommendation quality for users with varying lengths of interactionhistories, aiming to provide a deeper insight into SIGMA’s effectiveness in enhancing the …",,True,Concrete,True,True,Conference,AAAI 2025 Poster Session
Behavior-Dependent Linear Recurrent Units for Efficient Sequential Recommendation,"C Liu,J Lin,H Liu,J Wang,J Caverlee- Proceedings of the 33rd ACM …, 2024 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3627673.3679717,… existing sequential recommendation models seemingly suffer … the three golden principlesfor sequential recommendation? … in the case of sequential recommendation scenarios when …,,True,Concrete,True,True,Conference,CIKM 2024
HMamba: Hyperbolic Mamba for Sequential Recommendation,"Q Zhang, H Wen,W Yuan, C Chen,M Yang… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2505.09205,… hierarchies in sequential recommendation data. Recent … the intrinsic hyperbolic structure ofrecommendation data. To bridge … three key advances in sequential recommendation systems: …,,True,Concrete,True,True,Pre-print,
Frequency-Augmented Mixture-of-Heterogeneous-Experts Framework for Sequential Recommendation,"J Zhang,R Xie, H Lu, W Sun,WX Zhao… - Proceedings of the …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3696410.3714663?casa_token=Eo-19DDwUPUAAAAA:Gk-PuNj7eYFqAS2h6XXz1Bti8KdvMR54hRH38ooy5Uw02Xu8Z1VJSrPyQDbOmcAdau21Ko09t3yoPg,… provide personalized recommendations. … recommendations. • Extensive experiments havedemonstrated the effectiveness of our approach in providing personalized recommendations. …,,True,Concrete,True,True,Conference,WWW 2025 Poster Session 3
