Title,Authors,Link,Abstract,Citations
Mamba4rec: Towards efficient sequential recommendation with selective state space models,"C Liu,J Lin,J Wang,H Liu,J Caverlee- arXiv preprint arXiv:2403.03900, 2024 - arxiv.org",https://arxiv.org/abs/2403.03900,"… recommendation tasks. We introduce the Mamba layer, which incorporates both the Mambablock … Instead of simply stacking Mamba blocks, we use the Mamba layer as the fundamental …",
Matrrec: Uniting mamba and transformer for sequential recommendation,"S Zhang, R Zhang,Z Yang- arXiv preprint arXiv:2407.19239, 2024 - arxiv.org",https://arxiv.org/abs/2407.19239,"… recommendation performance on long interaction sequence data. Inspired by the State SpaceModel (SSM) representative model, Mamba, … that Mamba’s recommendation effectiveness …",
Uncovering Selective State Space Model's Capabilities in Lifelong Sequential Recommendation,"J Yang, Y Li, J Zhao,H Wang,M Ma, J Ma… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2403.16371,"… that utilizes the Mamba block to model user preferences over time. By integrating thecapabilities of Mamba into our framework, we aim to improve recommendation performance and …",
Ssd4rec: a structured state space duality model for efficient sequential recommendation,"H Qu, Y Zhang,L Ning,W Fan,Q Li- arXiv preprint arXiv:2409.01192, 2024 - arxiv.org",https://arxiv.org/abs/2409.01192,"… StateSpace Duality-empowered recommendation framework (SSD4Rec) … recommendation.Specifically, inspired by the most advanced mamba framework based on state space duality (…",
EchoMamba4Rec: Harmonizing Bidirectional State Space Models with Spectral Filtering for Advanced Sequential Recommendation,"Y Wang,X He,S Zhu- arXiv preprint arXiv:2406.02638, 2024 - arxiv.org",https://arxiv.org/abs/2406.02638,… Our model benefits from the ability of state space models (SSMs) to learn and perform … Itfeatures a bi-directional Mamba module that incorporates both forward and reverse Mamba …,
TiM4Rec: An Efficient Sequential Recommendation Model Based on Time-Aware Structured State Space Duality Model,"H Fan, M Zhu, Y Hu, H Feng, Z He, H Liu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16182,… This research represents the debut of Mamba architecture in the context of sequentialrecommendation with respect to time-aware enhancement. It is noteworthy that the timeaware …,
Bidirectional gated mamba for sequential recommendation,"Z Liu,Q Liu,Y Wang, W Wang,P Jia,M Wang… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.11451,"… the design of our proposed G-Mamba Block. Starting with the … two paralleling paths ie,PFMamba and FE-GRU, which … of Mamba [8, 19], we introduce the Partially Flipped Mamba. …",
M3Rec: Selective State Space Models with Mixture-of-Modality Experts for Multi-Modal Sequential Recommendation,"X Guo, T Zhang, Y Xue,C Wang… - ICASSP 2025-2025 …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10887582/,… a Mamba-based selective state space model incorporating Mixture-of-Modality experts forMultimodal sequential recommendation. … dependencies through shared Mamba blocks across …,Cited by 2
Mlsa4rec: Mamba combined with low-rank decomposed self-attention for sequential recommendation,"J Su, Z Huang - arXiv preprint arXiv:2407.13135, 2024 - arxiv.org",https://arxiv.org/abs/2407.13135,"… in sequential recommenders with Mamba, which has linear … recommendation framework,Mamba combined with Low-Rank decomposed Self-Attention for Sequential Recommendation (…",
Exploring Applications of State Space Models and Advanced Training Techniques in Sequential Recommendations: A Comparative Study on Efficiency and …,"M Obozov, M Baderko, S Kulibaba,N Kutuzov… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.05606,"… (2024), we propose a more complex exploration of Mamba applications to recommender …We have found that Hydra layers work more effectively than Mamba layers. Then we use the …",
"Mamba-360: Survey of state space models as transformer alternative for long sequence modelling: Methods, applications, and challenges","BN Patro,VS Agneeswaran- arXiv preprint arXiv:2404.16112, 2024 - arxiv.org",https://arxiv.org/abs/2404.16112,"… This work presents a comprehensive survey of the field of state space models, highlighting… In our survey, we observe that SSMs, especially exemplified by models like Mamba, …",
State space model for new-generation network alternative to transformers: A survey,"X Wang, S Wang,Y Ding,Y Li, W Wu, Y Rong… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2404.09516,"… in low-level vision, the model leverages the long-range dependent modeling capabilities ofthe Mamba state-space model while combining prior knowledge unique to image restoration …",
Dyg-mamba: Continuous state space modeling on dynamic graphs,"D Li,S Tan,Y Zhang,M Jin,S Pan, M Okumura… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.06966,"… social recommendation … state space models, eg, Mamba, for efficiently capturing long-termdependencies in language modeling, we propose DyG-Mamba, a new continuous state space …",
Exploring Graph Mamba: A Comprehensive Survey on State-Space Models for Graph Learning,"SB Atitallah,CB Rabah,M Driss,W Boulila… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.18322,"… , and recommendation systems. This survey represents the first comprehensive study devotedto Graph Mamba, … We start by offering a detailed explanation of the original Graph Mamba …",
Graph mamba: Towards learning on graphs with state space models,"A Behrouz,F Hashemi- Proceedings of the 30th ACM SIGKDD …, 2024 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3637528.3672044?casa_token=SiUkd6j_wmYAAAAA:yLPulzKjyehKcmr7BMgVnHKq43p87A0shKYi_EHSFo08hbNEL3tfFLIwIZ53iboXMGXqo65EtYhR4A,"… Dao [28] present Mamba, a selective state space model that uses … Mamba’s outstandingperformance in language modeling, … Mamba architecture is specifically designed for sequence …",
SIGMA: Selective Gated Mamba for Sequential Recommendation,"Z Liu,Q Liu, Y Wang, W Wang,P Jia, M Wang… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/33336,"… Gated Mamba for Sequential Recommendation (SIGMA). By introducing the Partially FlippedMamba (PF-Mamba)… Then, to consolidate PF-Mamba's performance, we employed an input-…",
Graph-mamba: Towards long-range graph sequence modeling with selective state spaces,"C Wang, O Tsepa,J Ma,B Wang- arXiv preprint arXiv:2402.00789, 2024 - arxiv.org",https://arxiv.org/abs/2402.00789,"… -sequence modeling ability of Mamba, we propose Graph-Mamba to alleviate the high …-Mamba represents a new type of graph network pioneering integration with selective state space …",
A Local context enhanced Consistency-aware Mamba-based Sequential Recommendation model,"Z Zhang,B Yang, Y Lu - Information Processing & Management, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306457325000184,"… Specifically, we incorporate R-Drop regularization into the Mamba-… Mamba outperformsbaseline models in HR and NDCG, achieving up to a 31.03% improvement in NDCG. LC-Mamba …",Related articles
Mamba for Scalable and Efficient Personalized Recommendations,"A Starnes,C Webster- arXiv preprint arXiv:2409.17165, 2024 - arxiv.org",https://arxiv.org/abs/2409.17165,… using the Mamba for handling tabular data in personalized recommendation systems. We …We evaluate FT-Mamba in comparison to a traditional Transformerbased model within a Two-…,
Stg-mamba: Spatial-temporal graph learning via selective state space model,"L Li,H Wang, W Zhang,A Coster- arXiv preprint arXiv:2403.12418, 2024 - arxiv.org",https://arxiv.org/abs/2403.12418,"… Mamba (STG-Mamba) as the first exploration of leveraging the powerful selective state space… STG data under the setting of selective state space models, we propose Kalman Filtering …",
A survey of mamba,"H Qu,L Ning, R An,W Fan,T Derr,H Liu,X Xu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.01129,"… For example, Mamba4Rec [116] pioneers the use of selective state space models for efficientsequential recommendation, enhancing model performance while maintaining inference …",
Stg-mamba: Spatial-temporal graph learning via selective state space model,"L Li,H Wang, W Zhang,A Coster- arXiv preprint arXiv:2403.12418, 2024 - arxiv.org",https://arxiv.org/abs/2403.12418,"… Mamba (STG-Mamba) as the first exploration of leveraging the powerful selective state space… STG data under the setting of selective state space models, we propose Kalman Filtering …",
DG-Mamba: Robust and Efficient Dynamic Graph Structure Learning with Selective State Space Models,"H Yuan,Q Sun, Z Wang,X Fu,C Ji, Y Wang… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/34382,"… -Mamba, a robust and efficient Dynamic Graph structure learning framework with the SelectiveState Space Models (Mamba)… In this work, we introduce DG-Mamba, a robust and efficient …",
Technologies on Effectiveness and Efficiency: A Survey of State Spaces Models,"X Lv,Y Sun,K Zhang,S Qu,X Zhu,Y Fan, Y Wu… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2503.11224,"… , Mamba achieved a … Mamba, numerous model architectures developed for practicalapplication scenarios have been continuously proposed, and models that combine the Mamba …",
What Can We Learn from State Space Models for Machine Learning on Graphs?,"Y Huang,S Miao,P Li- arXiv preprint arXiv:2406.05815, 2024 - arxiv.org",https://arxiv.org/abs/2406.05815,"… It then applies Mamba to this sequence to aggregate the representation of the root nodeand further applies Mamba to a sequence of root nodes to get graph representations, but the …",
Revisiting multi-modal emotion learning with broad state space models and probability-guidance fusion,"Y Shou, T Meng, F Zhang,N Yin,K Li- arXiv preprint arXiv:2404.17858, 2024 - arxiv.org",https://arxiv.org/abs/2404.17858,"… -computer interaction and recommendation systems. Most … Inspired by recent State SpaceModels (SSMs), Mamba can … stage, we propose a Broad Mamba, which does not rely on a …",
Fine-grained global modeling learning for personalized federated sequential recommender,"Y Di,H Shi,R Ma, Y Liu, W Wang - ICASSP 2025-2025 IEEE …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10889033/,"… sequence, then utilizes the Associative Mamba Block to capture the global personalized user… ii) To enhance recommender efficiency, we design the Associative Mamba Block for global …",Cited by 1
Selective State Space Model for Monaural Speech Enhancement,"M Chen,Q Zhang, M Wang,X Zhang… - IEEE Transactions …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10839254/,… network to augment Mamba for speech enhancement. • We introduce a simple yet effectivehybrid convolutionMamba architecture (MambaDC) to enhance the original Mamba’s ability …,
Hetegraph-mamba: Heterogeneous graph learning via selective state space model,"Z Pan,Y Jeong, X Liu,H Liu- arXiv preprint arXiv:2405.13915, 2024 - arxiv.org",https://arxiv.org/abs/2405.13915,"… mamba network (HGMN) to explore the next-generation heterogeneous graph learning byleveraging the powerful selective state space … Recently, Mamba [4], an enhanced state space …",
